시도,시군구,시설명,영문명,설치년월일,설치연도,시대구분,시설장,종사자수,정원,현원,빈자리,충원율,종사자당아동,소재지,연락처,위도,경도,데이터비고
서울특별시,서울 서대문구,디딤터,Didimter,2007.03.01,2007,전문화기 (2005~2015),김이슬,4,6,5,1,83,1.25,"서울특별시 서대문구 독립문로3길 16, 4층",02-365-2147,,,
서울특별시,서울 서대문구,아리솔,Arisol,2024.09.02,2024,확장·내실기 (2016~),권효정,3,5,2,3,40,0.67,"서울특별시 서대문구 독립문로3길 16, 3층",02-312-2147,,,
서울특별시,서울 서대문구,애신,AESHIN,2007.10.05,2007,전문화기 (2005~2015),김윤자,4,7,3,4,43,0.75,"서울특별시 서대문구 증가로12나길 87, 401호(미래그린빌라)",02-375-9993,,,
서울특별시,서울 서대문구,우리집그룹홈,Woorizip,2018.05.25,2018,확장·내실기 (2016~),천기범,3,5,5,0,100,1.67,서울특별시 서대문구 증가로6길 55 1층,02-313-7235,,,
서울특별시,서울 서대문구,한울타리,Hanultari,2005.03.25,2005,전문화기 (2005~2015),임은순,3,6,3,3,50,1.0,"서울특별시 서대문구 연희로2길 46, 501호(노블레스)",02-325-5384,,,
서울특별시,서울 서초구,성심효주의집,Sungsimhyojooey gip,2008.01.07,2008,전문화기 (2005~2015),박기자,2,7,4,3,57,2.0,서울 서초구 동광로18길 64 방배그레이스빌라A동 202호,02-599-2629,,,
서울특별시,서울 서초구,서초꿈,Seochodream,2012.07.18,2012,전문화기 (2005~2015),조휘옥,2,5,1,4,20,0.5,서울특별시 서초구 서초대로 114-14,02-595-0235,,,
서울특별시,서울 성북구,새터민청소년그룹홈 가족,Group Home ga-jok,2009.12.03,2009,전문화기 (2005~2015),김태훈,3,7,3,4,43,1.0,"서울특별시 성북구 보국문로 176-14, 1층",02-911-7817,,,
서울특별시,서울 성북구,새터민청소년 그룹홈<한식구>,Group Home Han Sik Goo,2013.05.21,2013,전문화기 (2005~2015),정미현,4,7,5,2,71,1.25,"서울특별시 성북구 보국문로 176-14, 2층",02-911-7874,,,
서울특별시,서울 성북구,슬기의집,Seulki-house,1986.01.05,1986,태동기 (~1999),한슬기,2,7,5,2,71,2.5,"서울특별시 성북구 성북로8다길 17, 경완빌라 403호",,,,
서울특별시,서울 성북구,은총의집,Grace of house,2020.10.15,2020,확장·내실기 (2016~),민기숙,4,7,4,3,57,1.0,"서울특별시 성북구 솔샘로5길 34, 401호",02-911-4373,,,
서울특별시,서울 성북구,안젤라의 집,Goodangelahouse,2014.02.05,2014,전문화기 (2005~2015),박영자,4,7,7,0,100,1.75,서울특별시 성북구 장위로32길 11,02-916-8778,,,
서울특별시,서울 성북구,은혜의 집,Grace-house,2014.12.11,2014,전문화기 (2005~2015),김용순,4,7,5,2,71,1.25,서울특별시 성북구 북악산로 913 풍림@ 101동 103호,02-2256-5060,,,
서울특별시,서울 성북구,베타니아,Bethania,2015.03.30,2015,전문화기 (2005~2015),이선중,3,7,6,1,86,2.0,"서울특별시 성북구 동소문로15길 99, 한신휴아파트 122동 1002호",02-953-3827,,,
서울특별시,서울 송파구,별빛내리는마을,Byulbit,2006.06.12,2006,전문화기 (2005~2015),박선준,4,7,5,2,71,1.25,"서울특별시 송파구 동남로24길 11, 5층(오금동)",02-400-6801,,,
서울특별시,서울 송파구,봄채,Springhome,2013.07.19,2013,전문화기 (2005~2015),이옥주,4,7,5,2,71,1.25,"서울특별시 송파구 동남로24길 11, 4층(오금동)",070-4244-6801,,,
서울특별시,서울 송파구,소년예수의집,The House of Child Jesus,1991.07.05,1991,태동기 (~1999),장미순,4,7,7,0,100,1.75,서울특별시 송파구 거마로24길 14(마천동),02-400-6108,,,
서울특별시,서울 송파구,예성의집,YeSeong's house,2021.01.19,2021,확장·내실기 (2016~),이진희,4,7,6,1,86,1.5,"서울특별시 송파구 성내천로 77, 4층(오금동)",02-448-3077,,,
서울특별시,서울 송파구,한빛마을,Hanbit village,2016.09.27,2016,확장·내실기 (2016~),권말녀,4,6,6,0,100,1.5,"서울특별시 송파구 백제고분로28길 19-24, 501호(삼전동, 삼전빌라)",02-6941-4777,,,
서울특별시,서울 송파구,행복한우리,HAPPYWOORI,2013.02.05,2013,전문화기 (2005~2015),권혜경,3,7,5,2,71,1.67,"서울특별시 송파구 올림픽로47길 9-10, 301호(풍납동)",02-6084-5526,,,
서울특별시,서울 송파구,소담의집,Sodamhouse,2024.02.19,2024,확장·내실기 (2016~),최주영,2,5,3,2,60,1.5,"서울특별시 송파구 성내천로23가길 6-6(마천동, 송파캐스빌)",02-404-4681,,,
서울특별시,서울 양천구,새희망 공동생활가정,Newhome,2020.01.20,2020,확장·내실기 (2016~),최은주,4,7,4,3,57,1.0,"서울특별시 양천구 은행정로19길 3, B동 201호",02-2699-9677,,,
서울특별시,서울 양천구,양천새희망 공동생활가정,YC New Hope,2021.09.06,2021,확장·내실기 (2016~),김미라,3,6,3,3,50,1.0,"서울특별시 양천구 신정로 300, 501동 705호",02-6346-0088,,,
서울특별시,서울 양천구,봄날,Bomnal,2024.05.31,2024,확장·내실기 (2016~),원미숙,2,7,2,5,29,1.0,서울특별시 양천구 남부순환로64길 23 101동 110호,02-2605-3348,,,
서울특별시,서울 양천구,소망그룹홈,SOMANG,2021.06.29,2021,확장·내실기 (2016~),전영순,4,7,7,0,100,1.75,"서울특별시 양천구 오목로 160, 603호",,,,
서울특별시,서울 양천구,에스더그룹홈,ESTHER,2021.10.26,2021,확장·내실기 (2016~),김성미,4,7,5,2,71,1.25,"서울특별시 양천구 중앙로57길 35, 605호",,,,
서울특별시,서울 양천구,헤아림그룹홈,HEARIM,2021.06.29,2021,확장·내실기 (2016~),최화숙,4,7,6,1,86,1.5,"서울특별시 양천구 은행정로15길 17, 104호",,,,
서울특별시,서울 양천구,살레시오 신월5동 나눔의 집,SalesioSinweoul 5dongNanumHouse,2005.07.29,2005,전문화기 (2005~2015),양승애,4,7,4,3,57,1.0,서울특별시 양천구 월정로 306. 수명산SKVIEW 103-105,02-2644-7165,,,
서울특별시,서울 양천구,살레시오양천 나눔의 집,SalesioYangchun NanumHouse,2009.11.02,2009,전문화기 (2005~2015),이영해,4,7,6,1,86,1.5,서울특별시 양천구 남부순환로54길 37,070-8930-4104,,,
서울특별시,서울 영등포구,킹스키즈그룹홈,King's kids,2018.07.10,2018,확장·내실기 (2016~),손애자,4,6,5,1,83,1.25,서울특별시 영등포구 영신로17길 16 401호,070-8286-2048,,,
서울특별시,서울 은평구,성모의집,Sungmouijip,1997.03.25,1997,태동기 (~1999),김에스텔,3,7,5,2,71,1.67,"서울특별시 은평구 가좌로12길 15, 103동 101호",02-352-4643,,,
서울특별시,서울 은평구,영라이프그룹홈,YOUNGLIFE GROUP HOME,2011.01.27,2011,전문화기 (2005~2015),김영화,4,7,6,1,86,1.5,"서울특별시 은평구 연서로37가길 23-1, 201호",02-352-0361,,,
서울특별시,서울 은평구,하우스바나,Hausbanah,2023.07.06,2023,확장·내실기 (2016~),박태진,4,6,3,3,50,0.75,"서울특별시 은평구 불광로 146, 3동 201호",02-6401-0146,,,
서울특별시,서울 중랑구,초롱꽃네,Chorong,2006.10.19,2006,전문화기 (2005~2015),박금옥,4,7,5,2,71,1.25,서울특별시 중랑구 망우로66길 32-5 101호,02-2209-0021,,,
서울특별시,서울 중랑구,같이,WITH grouphome,2018.04.18,2018,확장·내실기 (2016~),박유미,4,5,5,0,100,1.25,"서울특별시 중랑구 용마산로 271, 103동 604호",02-6404-9882,,,
부산광역시,부산 강서구,열린그룹홈,YULLIN,2015.01.05,2015,전문화기 (2005~2015),이진숙,5,7,6,1,86,1.2,"부산광역시 강서구 신호산단3로 55, 103-304",051-941-1377,,,
부산광역시,부산 금정구,자비동산,JABIDONGSAN,2008.01.04,2008,전문화기 (2005~2015),김동화,4,7,6,1,86,1.5,부산광역시 금정구 반송로 440-6,051-555-1560,,,
부산광역시,기장군,단비그룹홈,Danbee,2011.03.17,2011,전문화기 (2005~2015),하미혜,4,7,6,1,86,1.5,"부산광역시 기장군 기장읍 대청로7, 202동 1104호(이진캐스빌골드아파트)",051-990-8603,,,
부산광역시,부산 남구,이삭나래홈,esaknalehome,2014.09.30,2014,전문화기 (2005~2015),성숙정,2,7,2,5,29,1.0,부산광역시 남구 전선등로3번길 60-10,051-752-1752,,,
부산광역시,부산 남구,온새미로,ONSEIMIRO,2016.05.20,2016,확장·내실기 (2016~),장태순,4,7,6,1,86,1.5,"부산광역시 남구 유엔평화로 152-2, 103동 103호",051-623-8934,,,
부산광역시,부산 남구,파더스하우스,father's house,2009.05.20,2009,전문화기 (2005~2015),진점선,5,7,5,2,71,1.0,"부산광역시 남구 천제등로28번길 43, 지하,1층,2층",051-621-0191,,,
부산광역시,부산 남구,오륙도행복꿈터,ORUCDO HAPPYHOUSE,2015.11.08,2015,전문화기 (2005~2015),류영호,4,7,4,3,57,1.0,"부산광역시 남구 용호로269번길 90, 108호",051-611-1593,,,
부산광역시,부산 남구,부산해피홈,Busan HappyHome,2009.06.15,2009,전문화기 (2005~2015),송지영,5,7,4,3,57,0.8,부산광역시 남구 진남로96번가길 8-1,051-632-6361,,,
부산광역시,부산 동구,파랑새그룹홈,Bluebird Grouphome,2006.12.07,2006,전문화기 (2005~2015),유민욱,4,7,5,2,71,1.25,"부산광역시 동구 중앙대로296번길 11, 303호",051-466-5542,,,
부산광역시,부산 동구,랄랄라가족 그룹홈,lalala family grouphome,2009.06.30,2009,전문화기 (2005~2015),이승준,4,7,5,2,71,1.25,"부산광역시 동구 망양로476번길 11-1, 1층",051-902-3122,,,
부산광역시,부산 동구,이삭의집,ESAK HOUSE,1996.06.09,1996,태동기 (~1999),주영숙,5,7,4,3,57,0.8,부산광역시 동구 망양로822번길 7,051-756-1750,,,
부산광역시,부산 동래구,연화동산,YEON HWA DONG SAN,2007.12.10,2007,전문화기 (2005~2015),김윤미,4,7,6,1,86,1.5,"부산광역시 동래구 아시아드대로164번길 16, 203호(사직동, 청호파크빌라)",051-507-1268,,,
부산광역시,부산 부산진구,찬미의집,HOUSE OF CHANMI,2002.05.31,2002,제도화기 (2000~2004),박은영,4,7,5,2,71,1.25,부산광역시 부산진구 엄광로 68 가야벽산아파트 120-101,051-891-9137,,,
부산광역시,부산 남구,예꿈아홈,yekumahome,2008.03.19,2008,전문화기 (2005~2015),김태희,4,7,6,1,86,1.5,부산광역시 남구 석포로64번길 21-11,051-633-2840,,,
부산광역시,부산 북구,무지개공동생활가정,Rainbow Group Home,2008.05.26,2008,전문화기 (2005~2015),김정화,4,5,4,1,80,1.0,"부산광역시 북구 덕천로234번길 34, 203동 104호(만덕동, 럭키아파트)",051-908-6617,,,
부산광역시,부산 북구,위즈맘그룹홈,wizmom group home,2019.07.05,2019,확장·내실기 (2016~),장예원,4,5,5,0,100,1.25,"부산광역시 북구 덕천로234번길 34, 207동 302호(만덕동, 럭키아파트)",051-331-2505,,,
부산광역시,부산 사상구,에바다리더홈,Ephphatha Leader Home,2024.10.01,2024,확장·내실기 (2016~),조진선,4,7,5,2,71,1.25,부산광역시 사상구 동주로16번길 43(주례동),051-322-9717,,,
부산광역시,부산 사상구,에바다드림홈,ebada dream home,2024.10.01,2024,확장·내실기 (2016~),박지영,3,7,7,0,100,2.33,부산광역시 사상구 동주로16번길 43(주례동),051-322-9716,,,
부산광역시,부산 사상구,예그린공동생활가정,ygreen Group Home,2014.10.16,2014,전문화기 (2005~2015),이은희,5,7,5,2,71,1.0,"부산광역시 사상구 대동로 98, 105동 102호(학장동, 반도보라타운)",051-321-0216,,,
부산광역시,부산 사상구,천사의 집,Houseof Angela,2002.03.26,2002,제도화기 (2000~2004),정용란,4,7,5,2,71,1.25,"부산광역시 사상구 엄궁북로 61, 401동 102호",051-322-7442,,,
부산광역시,부산 사하구,하늘채 그룹홈,HANULCHE GROUPHOME,2008.04.29,2008,전문화기 (2005~2015),서금주,5,7,6,1,86,1.2,"부산광역시 사하구 다대로 473 105동 203호(다대동, 다대현대아파트)",051-266-7505,,,
부산광역시,부산 수영구,꿈CUM,cumcum,2023.12.15,2023,확장·내실기 (2016~),하지영,2,7,4,3,57,2.0,부산광역시 수영구 수미로86번길 30-2,051-715-7531,,,
부산광역시,부산 연제구,라온그룹홈,laon grouphome,2012.04.12,2012,전문화기 (2005~2015),박호영,5,7,5,2,71,1.0,"부산광역시 연제구 해맞이로61번길 52, 502호",051-506-7429,,,
부산광역시,부산 중구,행복한우리집,our happy home,2014.10.30,2014,전문화기 (2005~2015),김경희,4,7,5,2,71,1.25,"부산광역시 중구 중앙공원로 107, 303호 (영주동, 로얄플러스빌라)",051-465-9987,,,
부산광역시,부산 해운대구,꽃담,Kkotdam,2016.12.07,2016,확장·내실기 (2016~),신예원,4,7,5,2,71,1.25,부산광역시 해운대구 재반로84번길 116 센텀임페리얼빌리지 206호,051-781-8567,,,
부산광역시,부산 해운대구,하나그룹홈,hanagrouphome,2020.06.01,2020,확장·내실기 (2016~),김정훈,3,5,3,2,60,1.0,"부산광역시 해운대구 재반로64번길 74-1, 209호(센텀한보미도)",051-703-3561,,,
대구광역시,대구 남구,에덴그룹홈,edengaram,2003.06.02,2003,제도화기 (2000~2004),정윤경,4,6,4,2,67,1.0,"대구광역시 남구 현충로26길 40-1, 3층",053-623-1613,,,
대구광역시,대구 남구,해맑은 아이들의 집,SUNNYCHILD,2008.04.02,2008,전문화기 (2005~2015),김명희,4,7,4,3,57,1.0,"대구광역시 남구 안지랑로11길 83, 501호",053-625-2592,,,
대구광역시,대구 남구,해맑은 친구들의 집,sunnyfriend,2013.02.01,2013,전문화기 (2005~2015),양지은,4,7,4,3,57,1.0,"대구광역시 남구 안지랑로60-1, 302호",053-656-8731,,,
대구광역시,대구 남구,참좋은 우리집,chamhouse,2012.07.19,2012,전문화기 (2005~2015),장경조,4,7,3,4,43,0.75,대구광역시 남구 중앙대로 126 5층,053-475-8228,,,
대구광역시,대구 남구,등불의집,deonbul,2015.01.30,2015,전문화기 (2005~2015),김진태,3,7,4,3,57,1.33,대구광역시 남구 두류공원로12길 25-62,053-642-6090,,,
대구광역시,대구 달서구,우리들세상 여학생공동생활가정,wooridle female student cohabitation home,2007.12.31,2007,전문화기 (2005~2015),엄영희,4,7,7,0,100,1.75,"대구광역시 달서구 월배로 199-18, 2층",053-639-3922,,,
대구광역시,대구 달서구,우리들세상 남학생공동생활가정,wooridle male student cohabitation home,2007.12.31,2007,전문화기 (2005~2015),정춘례,4,7,5,2,71,1.25,"대구광역시 달서구 월배로 199-18, 1층",053-638-7922,,,
대구광역시,대구 북구,사랑의 울타리,Salang Ui Ultari,1989.10.07,1989,태동기 (~1999),이영희,4,7,7,0,100,1.75,대구광역시 북구 학정로48길 32-3 2층,053-313-1701,,,
대구광역시,대구 북구,소망의 울타리,SOMANG FENCE,2015.07.02,2015,전문화기 (2005~2015),정철희,4,6,4,2,67,1.0,"대구광역시 북구 학남로17길 20-39, 3층",053-626-3415,,,
대구광역시,대구 수성구,예빛그룹홈,YEBIT,2007.04.11,2007,전문화기 (2005~2015),김남율,4,7,4,3,57,1.0,"대구광역시 수성구 지범로31길 11-8, 2층",053-784-0231,,,
대구광역시,대구 중구,한몸,HANMOM,2007.06.05.,2007,전문화기 (2005~2015),표주현,3,5,4,1,80,1.33,"대구광역시 중구 국채보상로149길 8, 501호",053-423-8538,,,
인천광역시,인천 계양구,인천계양 아동청소년그룹홈,incheon gyeyang adong cheongsonyeongroup home,2019.12.02,2019,확장·내실기 (2016~),문세정,4,7,6,1,86,1.5,인천광역시 계양구 아나지로 199 효성뉴서울 505동 802호,032-575-1625,,,
인천광역시,인천 남동구,남동아동,HeeMang Child Group Home,2004.12.28,2004,제도화기 (2000~2004),박준명,4,7,6,1,86,1.5,인천광역시 남동구 독곡로16번길 22-7독곡홈타운 401호,032-461-1584,,,
인천광역시,인천 남동구,희망아동,Namdonggu Child Welfare Center,1998.02.01,1998,태동기 (~1999),한진이,4,7,4,3,57,1.0,"인천광역시 남동구 석산로240번길 12 그랑주택 201호, 202호",032-421-3649,,,
인천광역시,인천 미추홀구,미추홀구 신나는,Joyful House,2005.11.23,2005,전문화기 (2005~2015),이귀우,3,7,6,1,86,2.0,"인천광역시 미추홀구 학익소로61번길 132, 25동 101호",032-875-4242,,,
인천광역시,인천 미추홀구,스위트홈,Sweet home,2008.07.29,2008,전문화기 (2005~2015),한현숙,4,7,5,2,71,1.25,인천광역시 미추홀구 인주대로 326-1,032-872-7914,,,
인천광역시,인천 미추홀구,다올의집,Daol Group Home,2008.06.23,2008,전문화기 (2005~2015),최자현,1,7,0,7,0,0.0,"인천광역시 미추홀구 인주대로35번길 12-16, 201호",070-8238-5579,,,
인천광역시,인천 부평구,시정의집,SIJUNG's HOUSE,2008.03.11,2008,전문화기 (2005~2015),김종숙,4,7,7,0,100,1.75,인천광역시 부평구 마장로269번길 91-61,032-513-8395,,,
인천광역시,인천 부평구,엘피스,ELPIS,2010.09.13,2010,전문화기 (2005~2015),신해숙,4,7,6,1,86,1.5,"인천광역시 부평구 부흥로386번길 35, 1층",032-504-9546,,,
인천광역시,인천 서구,행복한집,HAPPILY HOUSE,2006.11.23,2006,전문화기 (2005~2015),김영순,4,7,6,1,86,1.5,"인천광역시 서구 완정로 208, 104동 104호(금곡동, 우방아이유쉘아파트)",032-565-7291,,,
인천광역시,인천 서구,꿈이있는집,Dream in house,2009.04.29,2009,전문화기 (2005~2015),문지현,4,7,6,1,86,1.5,"인천광역시 서구 가현로 168, 102동 1403호(마전동, 영진아파트)",032-561-8294,,,
인천광역시,인천 서구,SY엔터테인먼트,SY ENTERTAINMENT,2013.06.27,2013,전문화기 (2005~2015),곽경희,4,7,5,2,71,1.25,인천광역시 서구 완정로34번길 47 현대아파트 102동 701호,070-8259-4375,,,
인천광역시,인천 서구,예람공동생활가정,Yeram,2015.07.29,2015,전문화기 (2005~2015),이명화,4,7,7,0,100,1.75,"인천광역시 서구 고산후로161번길 28, 2층",070-4681-0534,,,
인천광역시,인천 서구,아너클래스,honorclass,2016.10.06,2016,확장·내실기 (2016~),고경숙,4,7,6,1,86,1.5,"인천광역시 서구 완정로64번길 7, 110동 803호",032-564-5687,,,
인천광역시,인천 서구,프렌즈,friends,2017.06.02,2017,확장·내실기 (2016~),전영랑,4,7,4,3,57,1.0,"인천광역시 서구 서곶로 818,103동 101호(마전동, 당하탑스빌)",070-8845-7179,,,
인천광역시,인천 서구,온유,onyu,2022.05.13,2022,확장·내실기 (2016~),최미순,3,7,7,0,100,2.33,"인천광역시 서구 서달로163번길 6, 301동 409호(가정동, 한국아파트)",032-710-7154,,,
인천광역시,인천 연수구,해피드림,HappyDream,2018.07.16,2018,확장·내실기 (2016~),정수영,1,7,0,7,0,0.0,인천광역시 연수구 청룡로42번길 24(옥련동),032-212-5455,,,
인천광역시,인천 중구,너랑나랑의 집,you&I House,2000.02.21,2000,제도화기 (2000~2004),홍승민,4,7,6,1,86,1.5,인천광역시 중구 참외전로 84,032-777-3860,,,
인천광역시,인천 중구,세리아,SERIA,2010.03.16,2010,전문화기 (2005~2015),권세령,4,7,6,1,86,1.5,인천광역시 중구 영종순환로169번길 64-1,032-752-5516,,,
광주광역시,광주 광산구,길상원,GIL SANG WON,1998.11.30,1998,태동기 (~1999),정선옥,4,7,6,1,86,1.5,광주광역시 광산구 사암로 271 월곡동 일신아파트105동1003호,062-955-8161,,,
광주광역시,광주 광산구,애자람,A JARAMGROUPHOME,2010.08.27,2010,전문화기 (2005~2015),기영철,4,7,5,2,71,1.25,광주광역시 광산구 송도로320번길 16-15 명지아파트 203-303호,062-432-7978,,,
광주광역시,광주 광산구,나래울,NARAEUL,2011.04.27,2011,전문화기 (2005~2015),이명옥,4,7,5,2,71,1.25,"광주광역시 광산구 월곡중앙로34번길 20, 1층",062-951-9387,,,
광주광역시,광주 광산구,꿈자람,Dreaming GroupHome,2012.04.30,2012,전문화기 (2005~2015),기미란,4,7,6,1,86,1.5,"광주광역시 광산구 소촌로152번길 11, 304동 103호",062-452-7978,,,
광주광역시,광주 광산구,늘빛,NEULBIT GROUPHOME,2024.01.01,2024,확장·내실기 (2016~),문설진,4,7,6,1,86,1.5,"광주광역시 광산구 풍영로 294-8, 106-103(장덕동, 수완루아채)",062-959-1910,,,
광주광역시,광주 광산구,한울,Hanul,2017.02.15,2017,확장·내실기 (2016~),김은순,4,7,3,4,43,0.75,"광주광역시 광산구 수등로 280 104-101(신가동, 호반리젠시빌)",062-453-1003,,,
광주광역시,광주 남구,혜성공동생활가정,hesunggrouphome,2011.12.21,2011,전문화기 (2005~2015),이신명,4,7,4,3,57,1.0,광주광역시 남구 금화로 449-1,062-465-4166,,,
광주광역시,광주 남구,누리봄,nuribom,2012.07.11,2012,전문화기 (2005~2015),박덕자,4,7,4,3,57,1.0,"광주광역시 남구 봉선2로 96-14, 202동804호",062-676-9141,,,
광주광역시,광주 남구,희망넝쿨그룹홈,HOPE VINE,2012.06.12,2012,전문화기 (2005~2015),김태정,4,7,5,2,71,1.25,광주광역시 남구 서문대로 760 신천그린아파트 101동 106호,070-7715-0013,,,
광주광역시,광주 남구,꿈사랑,GGUMSARANG,2011.05.04,2011,전문화기 (2005~2015),강미안,4,4,4,0,100,1.0,광주광역시 남구 효우2로 90 천년나무 605동 1004호,062-674-0690,,,
